what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.0.v20100520-0800,"org.eclipse.ui.workbench.texteditor",1501435098383
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1501435098384
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1501435098384
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1501435098385
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1501435098385
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1501435098385
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1501435098386
os,sysinfo,,,"win32",1501435098388
arch,sysinfo,,,"x86",1501435098388
ws,sysinfo,,,"win32",1501435098388
locale,sysinfo,,,"en_US",1501435098388
processors,sysinfo,,,"4",1501435098389
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1501435098389
java.runtime.version,sysinfo,,,"1.8.0_121-b13",1501435098389
java.specification.name,sysinfo,,,"Java Platform API Specification",1501435098389
java.specification.vendor,sysinfo,,,"Oracle Corporation",1501435098389
java.specification.version,sysinfo,,,"1.8",1501435098389
java.vendor,sysinfo,,,"Oracle Corporation",1501435098389
java.version,sysinfo,,,"1.8.0_121",1501435098389
java.vm.info,sysinfo,,,"mixed mode",1501435098389
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1501435098389
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1501435098389
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1501435098389
java.vm.specification.version,sysinfo,,,"1.8",1501435098389
java.vm.vendor,sysinfo,,,"Oracle Corporation",1501435098389
java.vm.version,sysinfo,,,"25.121-b13",1501435098389
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1501435099063
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1501435099265
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1501435099300
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1501435099391
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1501435099426
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1501435099635
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1501435099658
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1501435099665
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1501435099693
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1501435099816
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1501435100356
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1501435100528
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1501435100529
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1501435101016
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1501435101202
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1501435101237
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1501435101307
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1501435101526
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1501435101766
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1501435101949
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1501435103220
closed,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1501435103537
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1501435104523
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20090914-1703,"org.eclipse.dltk.testing",1501435104673
stopped,bundle,org.eclipse.php.server.ui,2.2.0.v20100616-1900,"org.eclipse.php.server.ui",1501435104673
stopped,bundle,org.eclipse.php.debug.ui,2.2.0.v20100616-1900,"org.eclipse.php.debug.ui",1501435104673
stopped,bundle,org.eclipse.dltk.debug.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.debug.ui",1501435104808
stopped,bundle,org.eclipse.dltk.formatter,2.0.0.v20100304-1959,"org.eclipse.dltk.formatter",1501435104890
stopped,bundle,org.eclipse.dltk.rse.ui,2.0.0.v20100115-2213,"org.eclipse.dltk.rse.ui",1501435104983
stopped,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090803-1754,"org.eclipse.dltk.validators.externalchecker",1501435105045
stopped,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1501435105135
stopped,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1501435105135
stopped,bundle,org.eclipse.php.ui,2.2.0.v20100616-1900,"org.eclipse.php.ui",1501435105135
stopped,bundle,org.eclipse.dltk.ui,2.0.0.v20100603-0936,"org.eclipse.dltk.ui",1501435105135
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1501435105214
